tweet_id,retweet_count,favorite_count
817181837579653120,8631,0
817171292965273600,2062,8921
817120970343411712,2651,12417
817056546584727552,1677,8743
816829038950027264,4801,0
816816676327063552,2078,10200
816697700272001025,2237,9977
816450570814898180,8252,31002
816336735214911488,1981,8755
816091915477250048,2185,9082
816062466425819140,1045,0
816014286006976512,5387,0
815990720817401858,1045,5043
815966073409433600,8631,22824
815745968457060357,4225,0
815736392542261248,2319,10030
815639385530101762,1680,8372
815390420867969024,3884,10558
814986499976527872,1302,7795
814638523311648768,2760,11479
814578408554463233,5958,0
814530161257443328,1907,8817
814153002265309185,8871,29344
813944609378369540,3251,0
813910438903693312,1907,9473
813812741911748608,14280,37134
813800681631023104,1803,8486
813217897535406080,7450,19003
813202720496779264,1847,9416
813187593374461952,4461,20281
813172488309972993,1969,9459
813157409116065792,2266,7928
813142292504645637,2437,8638
813130366689148928,457,4571
813127251579564032,3200,12091
813112105746448384,2802,10521
813096984823349248,3695,10772
813081950185472002,2834,10088
813066809284972545,1999,8121
813051746834595840,7527,21404
812781120811126785,1948,7727
812709060537683968,1465,6751
812503143955202048,1249,6192
812466873996607488,1981,8131
812372279581671427,3747,13940
811985624773361665,1436,7409
811744202451197953,1636,7696
811647686436880384,760,5725
811627233043480576,3154,13031
811386762094317568,6527,21356
810984652412424192,1470,5452
810896069567610880,1810,9210
810657578271330305,2714,11204
810284430598270976,11571,36026
810254108431155201,3450,15015
809920764300447744,4032,15853
809808892968534016,5015,0
809448704142938112,1499,7083
809220051211603969,5739,20349
809084759137812480,3611,13525
808838249661788160,3120,10331
808733504066486276,2218,8076
808501579447930884,2671,11542
808344865868283904,21391,43522
808134635716833280,6083,0
808106460588765185,2255,8979
808001312164028416,3618,12805
807621403335917568,3719,14896
807106840509214720,56862,120944
807059379405148160,7525,0
807010152071229440,3954,13360
806629075125202948,35562,76416
806620845233815552,5673,0
806576416489959424,1992,5000
806542213899489280,2414,10452
806242860592926720,11924,0
806219024703037440,1220,6578
805958939288408065,5499,0
805932879469572096,1967,8453
805826884734976000,1877,6717
805823200554876929,8237,0
805520635690676224,1701,5876
805487436403003392,2580,8986
805207613751304193,1757,8001
804738756058218496,3911,13997
804475857670639616,2065,6279
804413760345620481,3316,0
804026241225523202,16573,45491
803773340896923648,2816,10291
803692223237865472,7614,0
803638050916102144,4243,11191
803380650405482500,1909,7944
803321560782307329,5457,0
803276597545603072,2519,10258
802952499103731712,2061,9214
802624713319034886,2985,0
802600418706604034,1509,7265
802572683846291456,2573,9127
802323869084381190,5981,16587
802265048156610565,1411,6924
802239329049477120,2689,9273
802185808107208704,279,0
801958328846974976,1755,7922
801854953262350336,243,1817
801538201127157760,2116,8409
801285448605831168,845,6193
801167903437357056,6083,25027
801127390143516673,4050,0
801115127852503040,2156,8262
800859414831898624,98,696
800855607700029440,1653,0
800751577355128832,2866,10791
800513324630806528,3064,13421
800459316964663297,2226,9714
800443802682937345,4421,0
800388270626521089,2876,11407
800188575492947969,4042,0
800141422401830912,2613,15639
800018252395122689,13508,29017
799774291445383169,4812,0
799757965289017345,2218,8589
799422933579902976,1972,8234
799308762079035393,5614,0
799297110730567681,2835,10112
799063482566066176,2522,8252
798933969379225600,4588,13391
798925684722855936,1479,7655
798705661114773508,6816,0
798701998996647937,7995,0
798697898615730177,6668,0
798694562394996736,5086,0
798686750113755136,2392,0
798682547630837760,4838,0
798673117451325440,5687,0
798665375516884993,4014,0
798644042770751489,1903,0
798628517273620480,2023,0
798585098161549313,5860,0
798576900688019456,6001,0
798340744599797760,3434,0
798209839306514432,2624,10662
797971864723324932,3190,11879
797545162159308800,4995,14885
797236660651966464,6762,20388
797165961484890113,26,228
796904159865868288,9147,0
796865951799083009,1961,7856
796759840936919040,3125,12108
796563435802726400,7454,0
796484825502875648,1806,7751
796387464403357696,4258,11253
796177847564038144,14654,0
796149749086875649,14654,32996
796125600683540480,1856,5077
796116448414461957,2476,9313
796080075804475393,2376,8649
796031486298386433,3807,11045
795464331001561088,24276,50781
795400264262053889,2954,10294
795076730285391872,5567,16566
794983741416415232,3462,0
794926597468000259,2370,10485
794355576146903043,10575,0
794332329137291264,2744,9797
794205286408003585,3400,9426
793962221541933056,5015,17215
793845145112371200,1915,9439
793614319594401792,3219,0
793601777308463104,1670,8162
793500921481273345,2437,10917
793286476301799424,9408,25153
793271401113350145,2456,8898
793256262322548741,8561,20418
793241302385262592,3381,10757
793226087023144960,2942,10063
793210959003287553,2871,9129
793195938047070209,5776,15639
793180763617361921,2054,7096
793165685325201412,2856,9638
793150605191548928,1744,6322
793135492858580992,2555,6582
